index,count_deposit,count_borrow,count_repay,count_withdraw,count_liquidation,avg_deposit,avg_borrow,avg_repay,avg_withdraw,withdraw_to_depo,borrow_to_deposit,repay_to_borrow
2935,0.03522504892367906,0.035,0.024054982817869414,0.0004907115317209955,0.0,0.0002015287334034682,0.0001671957846397104,4.371901498108626e-05,6.726041176479918e-05,1.604857183534996e-11,0.24636602647998193,0.3043941054415794
2567,0.015655577299412915,0.025,0.010309278350515464,0.0003505082369435682,0.0,9.226442805696563e-05,5.575385501450972e-05,7.482729339748957e-05,9.68426392090886e-05,8.111490124182618e-11,0.2883948860745011,0.9374058002871478
2249,0.0019569471624266144,0.0,0.0,0.0,0.0,3.828224892123506e-09,0.0,0.0,0.0,0.0,0.0,0.0
1333,0.003913894324853229,0.0,0.0,0.00021030494216614092,0.0,0.0012031581143579612,0.0,0.0,0.0005477778198329024,8.444252222454899e-11,0.0,0.0
2839,0.0136986301369863,0.005,0.003436426116838488,0.00014020329477742728,0.0,0.0040519058981754955,0.02019343679147346,0.016762771296888985,0.009923005162180223,8.651755719898164e-11,0.5436509092678845,0.966332918000492
1243,0.005870841487279843,0.0,0.0,0.0,0.0,3.7060050323115486e-08,0.0,0.0,0.0,0.0,0.0,0.0
3235,0.0019569471624266144,0.0,0.0,0.0,0.0,6.083158221878798e-08,0.0,0.0,0.0,0.0,0.0,0.0
2863,0.03522504892367906,0.035,0.0,0.0003505082369435682,0.0,1.7095731816752906e-05,8.700156446978942e-06,0.0,1.6869717652985416e-05,3.3892683056390734e-11,0.15112344181238624,0.0
3276,0.11545988258317025,0.01,0.006872852233676976,0.00014020329477742728,0.0,1.8530074368542022e-05,0.00034409506992417685,1.0042601803449743e-06,5.251216671479531e-05,1.1878161913364081e-11,0.4806692939434158,0.003397496249890282
335,0.003913894324853229,0.005,0.006872852233676976,0.00021030494216614092,0.0,0.0001789528733549526,5.959144241096283e-05,2.7504240765631227e-05,6.07531330102595e-05,6.296648653786406e-11,0.12714003906316765,1.0
2701,0.015655577299412915,0.0,0.0,7.010164738871364e-05,0.0,1.937325169449417e-05,0.0,0.0,0.00010176539655336061,8.118882793331673e-11,0.0,0.0
3361,0.003913894324853229,0.0,0.0,0.0,0.0,4.3134323653851245e-07,0.0,0.0,0.0,0.0,0.0,0.0
1167,0.023483365949119372,0.04,0.03436426116838488,0.001331931300385559,0.0,0.0002930508612206701,0.00022039178053839692,0.0001147752606100227,0.00011938801861800445,7.975875304476276e-11,0.3828494684191414,0.7577991077839508
646,0.003913894324853229,0.005,0.003436426116838488,0.00014020329477742728,0.0,3.402466029566899e-05,1.3716791169134642e-05,1.106112200494324e-05,2.3280295633699406e-05,8.460245433032155e-11,0.153920280392068,0.9387238208374463
1649,0.09001956947162426,0.29,0.21305841924398625,0.003505082369435682,0.0,2.231396601697409e-05,3.946078509020091e-05,3.20198233312308e-05,2.1037770152659933e-05,1.2671364438728953e-10,1.0,1.0
368,0.0019569471624266144,0.0,0.0,0.0,0.0,4.2505111065400225e-07,0.0,0.0,0.0,0.0,0.0,0.0
3255,0.003913894324853229,0.0,0.0,0.0,0.0,5.624967817874023e-07,0.0,0.0,0.0,0.0,0.0,0.0
830,0.0019569471624266144,0.005,0.0,0.0,0.0,2.393753032308508e-08,1.7121016874177183e-09,0.0,0.0,0.0,0.05461477668718928,0.0
1721,0.003913894324853229,0.0,0.0,0.0,0.0,1.6945649933082427e-10,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0019569471624266144,0.0,0.0,0.00014020329477742728,0.0,7.535158175956744e-05,0.0,0.0,2.5767155074681035e-05,8.456529059378108e-11,0.0,0.0
663,0.003913894324853229,0.005,0.0,0.0,0.0,6.04252636187281e-07,7.798958087833617e-08,0.0,0.0,0.0,0.049278220254541906,0.0
887,0.003913894324853229,0.0,0.0,0.0,0.0,5.586056016354743e-07,0.0,0.0,0.0,0.0,0.0,0.0
2441,0.0019569471624266144,0.0,0.0,0.0,0.0,4.204099287473547e-07,0.0,0.0,0.0,0.0,0.0,0.0
1628,0.0,0.0,0.0,0.00021030494216614092,0.0,0.0,0.0,0.0,0.0005588675155600936,0.5412094442660073,0.0,0.0
2812,0.043052837573385516,0.055,0.0,0.00077111812127585,0.0,0.0002397464240041104,5.185397572914382e-05,0.0,0.0022610110741325532,5.830540909251889e-10,0.08257847225469454,0.0
271,0.0019569471624266144,0.0,0.0,0.0,0.0,4.235414215168387e-07,0.0,0.0,0.0,0.0,0.0,0.0
2213,0.009784735812133072,0.01,0.0,0.00014020329477742728,0.0,0.0031272370898471464,0.004063391280176352,0.0,0.0016819521608194808,2.6601199721800172e-11,0.3968760169633843,0.0
